Rating,Comment
1,Alexa cannot hear after she starts playing
3,"I purchased this as a birthday gift for my 7 years old son. Since he don't have siblings so I though it would be a fun experience for him talking to and giving commands to alexa. But to my dismay he only used it for playing music that also only one song after one month of his birthday. ""Alexa please play the flying jat song"". There were things I demonstrated him about alexa like jungle quiz, panchtantra ki kahaniya, alexa laugh, beatbox, fart!  Etc. But after one month of use he lost interest in it and being powered from socket I am also not interested to use it as a bluetooth speaker. I configured it to control a wipro smart bulb. But after few days  I started using the smart bulb as a regular bulb because it's easier to press the physical switch compared to checking the configuration & connection everytime ""Alexa Bulb on"" or ""Alexa bulb off"" voice command doesn't work. So now it is kept idle since 3 months and will remain so for many more months/years to come. The bottomline is that alexa is not that useful as advertised and we tend to lose interest in it very quickly."
1,"/*Here I'm Uploading video, enjoy*/Most idiotic device I every bought, never play original songs. Always play some or the other remix or instrumental songs.I wish I would have bought Google home or some Bluetooth speakers./*Some attachments after talking to Amazon Echo Dot Executive*/After my above review, Echo Dot representative called me, I'm glad for this.I showed him the issue with song selection but he told me that it is because of library doesn't have songs that I'm selecting and it is better to add gaana.com from alexa app, after following his guidelines, I repeated and recorded issues. Please see the screen shots and listed to audio  for Alexa and have fun (Now I realise amazon review doen't support audio but only video).You can buy this device if you have to have personalised fun in your life. The is not way of attaching Audio files only video so this is again funny, if I wan't to attach some feedback for Alexa why do I need Video :). This is called mismatch in basic requirement.I'll try to get capture view than attach here for same issues added as image. Till than enjoy."
5,Its just one if the best deal i ever got on amazon I purchased it with a 12 watt wipro light at 2200 and enjoying it since last 2 daya its my 4th echo device and yes I would highly recommend buying a product with this just search echo dot wall mount you ll see a 800-900 rupees wall mount trust me it will make a huge difference between sound and transportability plus when its on wall if will recognise your voice quicker as it faces you on the wall seriously guys the combination of these two is compulsory
1,Do not buy this product. When i asked alexa that kashmir is part of which country it said china.Boycott alexa
1,Worst experience with alexa no warranty you get with this product.Amazon policy are worst. Ctdi partner an official amazon devices service partner.I have requested to Amazon to replace my alexa device with in the warranty period the refuses my request. issue is escalated bu amazon team but no follow up call can be held till today. They are giving fake excuses for service they are temporary un available for service of alexa after few days the warranty get to expire then they say your product warranty has expired so we did not give you a service for your product. “ excuse me amazon all of the world wide companies change their policies in national lockdown.” I think amazon policy are worst. They stand in the last of the top companies list. They have no customer satisfaction. Even apple has extended there warranty of their product in lockdown. Amazon shame Amazon shameful for you
1,"Before buying this product please keep these points in mind:- You need amazon prime account  for Rs. 999 per year to listen to music from amazon. Otherwise you will have to use free and full of advertisement services like Saavn, Gaana, etc.- Echo dot skips to next song abruptly without completing current song most often.- If you try to stream music from your Amazon Prime Music app on your iPhone to Echo Dot or Echo Dot stereo pair, the app cannot control the music. You cannot scrub music or know which song is playing or move to next music in the playlist. The control magically switches the Alexa app that you need to have on your phone to setup Echo dot.- You can only stream to stereo pair from Amazon Prime Music App.- No real support exists for this device. If you call amazon support staff, they will drive you crazy as they know nothing about this product and its features.- If you want to use it as kids toy, then it is ok to buy it as it can switch on and off lights that are compatible with Alexa.- Audio quality is very basic. Even a cheap Chinese product sounds better.- This is really a no no product for music lovers. You better buy either Sony or JBL soundbars with subwoofer for better quality music, though these may cost you beyond INR15k.- Alexa does not understands most of the commands. Apple Siri is way ahead of Alexa.- Amazon is not a software and hardware company. Don't expect quality software  and hardware from them. You are being used as testers for their experimental products."
5,"I am using alexa dot 2nd Gen and today I have gifted dot 3rd Gen to my Daddy.1. I see of difference in sound quality compared 2nd gen. Sound quality is amazing.2. It is louder than 2nd Gen Dot3. One thing disappointed is that when say 'Alexa, play old telugu songs' in 2nd Gen Dot it Play old songs from retro station but in 3rd gen Dot it is playing telugu songs'(not telugu old songs). When I specially say 'Alexa play telugu retro station songs' it is playing old songs of specific combination of male and female singers.I will update the review after days again but it's 5 star rating for now"
5,For 2000 using 10% off..you are getting a bulb worth 500...making echo dot 1500 which at roughly 20 dollars is same price you get in deals in USA.  So no more asking friends to get them from there!!!!  Anyone sitting on the fence can buy this instead of buying bluetooth speakers.  This is 5th Echo dot including earlier versions and Google Mini doesnt even come close when it comes to smartness.  While Google mini answers google search questions better - no one is buying a smart speaker for that.  Its integration with smart devices is unparalled and my mini appears dumb most of the times.  Just grab this before it goes back to its old price.  Even the smart bulb is very helpful.  While watching TV..just ask Alexa to turn bulb blue or red!! Not sure if this bulb can dim...if so..you can use this both as a day bulb and a night bulb.  Just go for it before its too late
5,"I was quite confused between echo dot 3rd & 4th Gen so bought both to try and after testing, I choose 3rd Gen bcoz of following reasons.1. Very responsive to voice command in comparison to 4th Gen.2. Only 1-1.5 scale down from 4th Gen in sound and bass quality.3. I prefer 3rd Gen hockey puck design than 4th Gen round shape (personal preference).4. For higher audio quality and output one can always use external speakers via aux cable.5. Can integrate with Google even via bluetooth.6. Easy to place anywhere without any scope of rolling off.7. LED ring light looks distinctive on top than bottom (4th Gen) bcoz one can't see its 360° view.8. Plays soft music prity well than hard.9. Can fit into confined space.10. Also paid only ₹1999.What more one can ask for."
4,"If you’re in the market for a cheap wireless speaker that can make calls, control your smart home and play the occasional song or two, the Amazon Echo Dot is easily one of the best smart speakers on the market for you – even better than the Google Home Mini in terms of call quality and music playback."
5,"The speaker was larger than I thought it would be, a bit chunky but not too heavy. It doesn't move about, because it's nicely weighted, even if played at full volume though I believe 50-60% volume would be enough for most people. The sound is very good indeed. The Bollywood and dance songs play great and even the rock and metal songs are enjoyable. The bass is not very heavy but the sound seems weighted nice for bass heavy songs. Alexa makes it so easy to do so many things, especially if you have smart appliances and lights and all at home which are compatible. Sone things I find enjoyable are asking Alexa to turn on the tv via my smart plug and play a particular show on the fire tv stick and by the time I get to the living room everything's on and the show's about to start. You can even use it to call your family to dinner if you have two or more echo speakers. Some privacy issues are there but it's up to you how comfortable you are giving up some for the convenience it provides. Playing music, the news, weather updates, traffic updates, reading your Kindle library books to you, the possibilities are endless. Spotify too is very nicely integrated with Alexa. The only downside is that the Google feud means there's no YouTube or YouTube music support officially and you have to run through some hoops to get it working (P.S. look up Paul Hibbert on YouTube [oh the irony]). P.P.S.-Amit Bachchan's voice is now available via Amitji keyword but unfortunately you have to pay extra for it :)"
4,"Scenario:Connect your iPhone11 with JBL Go and Amazon Echo Dot 3rd generation via blue toothBoth device should be connected. This you can verify it on Bluetooth menuPlay any songs from iTunes and let the Amazon Echo Dot 3rd generation decodes it(audio is playing on Amazon Echo Dot)Listen the audio for sometime (5 minutes approximately)Observation:Audio drops is observed and blue tooth get disconnected automaticallyIn the same scenario, if the audio is playing on JBL Go. The problem is not observedIf only Amazon Echo Dot 3rd generation only connected to the phone everything works fineThe same problem is not observed with iPad Mini and Android phone"
5,"I felt the sound quality is great at the price of 2249 during sale. The alexa integration is really good with all the amazing alexa skills available in echo dot. The voice recognition is average coz when the volume is above 5 , alexa couldn't recognize the wake word as the music is loud. So, we would require to shout to let her hear the wake word. I hope this might be resolved in the new (4th) generation as the sound will be focusing in 1 direction rather than 360 degrees, this is what i feel through looking at the design. The response time is good but can be improved in thr next generation yet to be released. Overall, this device is worth the purchase at regular price and during the sale it becomes much more worthy at the price of 2249. There are many hidden features in alexa which are not known by the majority customers like explicit filter, treble base and mid-range regulator, talk slow, talk fast, follow-up mode, sing a song, feedback, Horoscope, movie dialogues, quotes, Translation,  excellent mind and strategy games, kids games and fun games like Shadow game, Akinator, Bulls and Cows, Guess the number, Music mania, Yes Sire etc. and many more fabulous features. Please do a little search on Google about Alexa Skills and who knows you may be able to discover some great hidden features or a new feature. Also, at regular intervals, please do ask your alexa to check for software updates and update the device. It will allow you to enjoy new features with every update. Although, Alexa may not be the greatest invention but it is definitely the sweetest invention and yes it's becoming smarter everyday. Alexa is not comparable to other devices like google home, google nest, apple homepod, etc. as they have different features and different price segments. If you need a wide range of features and skills for daily use and fun, Alexa devices are the perfect choices. Believe me, even with those flaws i mentioned, Alexa will be a cheer. Just go for it."
